date,open,close,high,low,volume
20201228  10:20,667.9,670.87,671.47,667.55,5283
20201228  10:25,670.8,668.51,671.19,667.27,3165
20201228  10:30,668.65,669.44,672.5,668.64,4778
20201228  10:35,669.36,664.5,670,664,3935
20201228  10:40,664.42,663.85,664.98,662.12,5380
20201228  10:45,663.88,663.95,664.93,660.8,5144
20201228  10:50,664.05,665.49,665.81,663.24,3698
20201228  10:55,665.5,665.2,666.44,664.16,2524
20201228  11:00,665,667.62,668.62,664.82,3527
20201228  11:05,667.53,669.91,669.99,667.41,3273
20201228  11:10,669.94,669.63,670.09,668.25,2174
20201228  11:15,669.6,668.25,670.21,667.6,1967
20201228  11:20,668.27,669.33,669.8,667.7,1699
20201228  11:25,669.28,671.58,672.17,669.27,3043
20201228  11:30,671.49,671.75,673.4,671.11,2770
20201228  11:35,671.84,672.14,673.55,671.78,2598
20201228  11:40,672.21,671.06,672.88,670.69,1384
20201228  11:45,671.11,669.83,671.66,669.61,1587
20201228  11:50,669.85,670.33,670.94,669.56,1469
20201228  11:55,670.22,668.7,670.83,668.54,1476
20201228  12:00,668.7,669.08,669.79,668.4,1424
20201228  12:05,669.1,666.78,669.33,666.11,2247
20201228  12:10,666.7,666.92,667.11,665.31,2315
20201228  12:15,666.92,665.63,667.75,665.46,2037
20201228  12:20,665.71,667.93,668.25,665.08,2314
20201228  12:25,667.88,668.01,668.88,667.5,2083
20201228  12:30,667.98,668.22,668.8,667.29,1127
20201228  12:35,668.23,666.91,668.5,666.3,1002
20201228  12:40,667.07,667.75,668,666.83,976
20201228  12:45,667.81,666.41,667.95,666.27,1309
20201228  12:50,666.36,667.2,667.57,665.95,1222
20201228  12:55,667.33,668.86,669.25,666.66,2330
20201228  13:00,668.85,669.1,669.7,668.12,1916
20201228  13:05,669.11,671,671.25,668.87,2559
20201228  13:10,670.84,669.35,671.45,668.85,1791
20201228  13:15,669.41,669.12,669.97,668.81,1036
20201228  13:20,669.14,670.52,670.8,669.1,1279
20201228  13:25,670.51,668.93,670.62,668.58,1270
20201228  13:30,668.78,668.7,669.28,668.52,868
20201228  13:35,668.81,668.15,669.66,667.7,842
20201228  13:40,668.11,668.62,669.1,668,784
20201228  13:45,668.55,668.09,668.61,667.57,843
20201228  13:50,668.01,667.15,668.01,666.95,1178
20201228  13:55,667.12,666.78,668.22,666.38,1505
20201228  14:00,666.76,667.67,667.97,666.76,1207
20201228  14:05,667.68,667.9,668.28,667.38,805
20201228  14:10,667.88,669.28,669.3,667.88,1182
20201228  14:15,669.18,668.34,669.45,668.22,1047
20201228  14:20,668.42,667.91,668.74,667.09,662
20201228  14:25,667.8,668.1,668.16,667.29,547
20201228  14:30,668.11,668.59,668.8,667.96,888
20201228  14:35,668.49,668.3,668.56,667.8,571
20201228  14:40,668.31,668.06,669.14,667.83,981
20201228  14:45,667.92,667.79,668.04,667.26,857
20201228  14:50,667.79,667.5,668.48,667.41,765
20201228  14:55,667.5,667.34,667.81,667.27,565
20201228  15:00,667.32,667.78,668.07,667.08,733
20201228  15:05,667.79,667.82,668.13,667.37,823
20201228  15:10,667.91,666.96,667.91,666.29,1790
20201228  15:15,667.02,666.64,667.38,666.38,1181
